"","COUNTRY","FLOW","PRODUCT","1971","2000"
"211","Ghana","International marine bunkers","Lignite","..","0.000000000"
"212","Ghana","International marine bunkers","Patent fuel","0.000000000","0.000000000"
"213","Ghana","International marine bunkers","Coke oven coke","0.000000000","0.000000000"
"214","Ghana","International marine bunkers","Gas coke","0.000000000","0.000000000"
"215","Ghana","International marine bunkers","Coal tar","0.000000000","0.000000000"
"216","Ghana","International marine bunkers","BKB","0.000000000","0.000000000"
"217","Ghana","International marine bunkers","Gas works gas","0.000000000","0.000000000"
"218","Ghana","International marine bunkers","Coke oven gas","0.000000000","0.000000000"
"219","Ghana","International marine bunkers","Blast furnace gas","0.000000000","0.000000000"
"220","Ghana","International marine bunkers","Other recovered gases","0.000000000","0.000000000"
"221","Ghana","International marine bunkers","Peat","0.000000000","0.000000000"
"222","Ghana","International marine bunkers","Peat products","0.000000000","0.000000000"
"223","Ghana","International marine bunkers","Oil shale and oil sands","0.000000000","0.000000000"
"224","Ghana","International marine bunkers","Natural gas","0.000000000","0.000000000"
"225","Ghana","International marine bunkers","Crude/NGL/feedstocks (if no detail)","x","x"
"226","Ghana","International marine bunkers","Crude oil","0.000000000","0.000000000"
"227","Ghana","International marine bunkers","Natural gas liquids","0.000000000","0.000000000"
"228","Ghana","International marine bunkers","Refinery feedstocks","0.000000000","0.000000000"
"229","Ghana","International marine bunkers","Additives/blending components","0.000000000","0.000000000"
"230","Ghana","International marine bunkers","Other hydrocarbons","0.000000000","0.000000000"
"231","Ghana","International marine bunkers","Refinery gas","0.000000000","0.000000000"
"232","Ghana","International marine bunkers","Ethane","0.000000000","0.000000000"
"233","Ghana","International marine bunkers","Liquefied petroleum gases (LPG)","0.000000000","0.000000000"
"234","Ghana","International marine bunkers","Motor gasoline excl. biofuels","0.000000000","0.000000000"
"235","Ghana","International marine bunkers","Aviation gasoline","0.000000000","0.000000000"
"236","Ghana","International marine bunkers","Gasoline type jet fuel","0.000000000","0.000000000"
"237","Ghana","International marine bunkers","Kerosene type jet fuel excl. biofuels","0.000000000","0.000000000"
"238","Ghana","International marine bunkers","Other kerosene","0.000000000","0.000000000"
"239","Ghana","International marine bunkers","Gas/diesel oil excl. biofuels","-1212.401000000","-2164.998500000"
"240","Ghana","International marine bunkers","Fuel oil","-924.600400000","0.000000000"
"241","Ghana","International marine bunkers","Naphtha","0.000000000","0.000000000"
"242","Ghana","International marine bunkers","White spirit & SBP","0.000000000","0.000000000"
"243","Ghana","International marine bunkers","Lubricants","0.000000000","0.000000000"
"244","Ghana","International marine bunkers","Bitumen","0.000000000","0.000000000"
"245","Ghana","International marine bunkers","Paraffin waxes","0.000000000","0.000000000"
"246","Ghana","International marine bunkers","Petroleum coke","0.000000000","0.000000000"
"247","Ghana","International marine bunkers","Other oil products","0.000000000","0.000000000"
"248","Ghana","International marine bunkers","Industrial waste","0.000000000","0.000000000"
"249","Ghana","International marine bunkers","Municipal waste (renewable)","0.000000000","0.000000000"
"250","Ghana","International marine bunkers","Municipal waste (non-renewable)","0.000000000","0.000000000"
"251","Ghana","International marine bunkers","Primary solid biofuels","0.000000000","0.000000000"
"252","Ghana","International marine bunkers","Biogases","0.000000000","0.000000000"
