,,TIME,1971,2000
Ghana,International aviation bunkers,Municipal waste (non-renewable),0,0
Ghana,International aviation bunkers,Primary solid biofuels,0,0
Ghana,International aviation bunkers,Biogases,0,0
Ghana,International aviation bunkers,Biogasoline,0,0
Ghana,International aviation bunkers,Biodiesels,0,0
Ghana,International aviation bunkers,Bio jet kerosene,0,0
Ghana,International aviation bunkers,Other liquid biofuels,0,0
Ghana,International aviation bunkers,Non-specified primary biofuels and waste,0,0
Ghana,International aviation bunkers,Charcoal,0,0
Ghana,International aviation bunkers,Elec/heat output from non-specified manufactured gases,0,0
Ghana,International aviation bunkers,Heat output from non-specified combustible fuels,0,0
Ghana,International aviation bunkers,Nuclear,0,0
Ghana,International aviation bunkers,Hydro,0,0
Ghana,International aviation bunkers,Geothermal,0,0
Ghana,International aviation bunkers,Solar photovoltaics,0,0
Ghana,International aviation bunkers,Solar thermal,0,0
Ghana,International aviation bunkers,"Tide, wave and ocean",0,0
Ghana,International aviation bunkers,Wind,0,0
Ghana,International aviation bunkers,Other sources,0,0
Ghana,International aviation bunkers,Electricity,0,0
Ghana,International aviation bunkers,Heat,0,0
Ghana,International aviation bunkers,Total,-45,-109
Ghana,International aviation bunkers,Memo: Renewables,0,0
Ghana,Stock changes,Hard coal (if no detail),0,x
Ghana,Stock changes,Brown coal (if no detail),0,x
Ghana,Stock changes,Anthracite,..,0
Ghana,Stock changes,Coking coal,..,0
Ghana,Stock changes,Other bituminous coal,..,0
Ghana,Stock changes,Sub-bituminous coal,..,0
Ghana,Stock changes,Lignite,..,0
Ghana,Stock changes,Patent fuel,0,0
Ghana,Stock changes,Coke oven coke,0,0
Ghana,Stock changes,Gas coke,0,0
Ghana,Stock changes,Coal tar,0,0
Ghana,Stock changes,BKB,0,0
Ghana,Stock changes,Gas works gas,0,0
Ghana,Stock changes,Coke oven gas,0,0
Ghana,Stock changes,Blast furnace gas,0,0
Ghana,Stock changes,Other recovered gases,0,0
Ghana,Stock changes,Peat,0,0
Ghana,Stock changes,Peat products,0,0
Ghana,Stock changes,Oil shale and oil sands,0,0
Ghana,Stock changes,Natural gas,0,0
Ghana,Stock changes,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Stock changes,Crude oil,-20,0
Ghana,Stock changes,Natural gas liquids,0,0
Ghana,Stock changes,Refinery feedstocks,0,0
Ghana,Stock changes,Additives/blending components,0,0
Ghana,Stock changes,Other hydrocarbons,0,0
Ghana,Stock changes,Refinery gas,0,0
Ghana,Stock changes,Ethane,0,0
Ghana,Stock changes,Liquefied petroleum gases (LPG),0,0
Ghana,Stock changes,Motor gasoline excl. biofuels,0,0
Ghana,Stock changes,Aviation gasoline,0,0
Ghana,Stock changes,Gasoline type jet fuel,0,0
Ghana,Stock changes,Kerosene type jet fuel excl. biofuels,0,0
Ghana,Stock changes,Other kerosene,0,0
Ghana,Stock changes,Gas/diesel oil excl. biofuels,11,0
Ghana,Stock changes,Fuel oil,-8,0
Ghana,Stock changes,Naphtha,0,0
Ghana,Stock changes,White spirit & SBP,0,0
Ghana,Stock changes,Lubricants,0,0
Ghana,Stock changes,Bitumen,0,0
Ghana,Stock changes,Paraffin waxes,0,0
Ghana,Stock changes,Petroleum coke,0,0
Ghana,Stock changes,Other oil products,0,0
Ghana,Stock changes,Industrial waste,0,0
Ghana,Stock changes,Municipal waste (renewable),0,0
Ghana,Stock changes,Municipal waste (non-renewable),0,0
Ghana,Stock changes,Primary solid biofuels,0,0
Ghana,Stock changes,Biogases,0,0
Ghana,Stock changes,Biogasoline,0,0
Ghana,Stock changes,Biodiesels,0,0
Ghana,Stock changes,Bio jet kerosene,0,0
Ghana,Stock changes,Other liquid biofuels,0,0
Ghana,Stock changes,Non-specified primary biofuels and waste,0,0
Ghana,Stock changes,Charcoal,0,0
Ghana,Stock changes,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Stock changes,Heat output from non-specified combustible fuels,0,0
Ghana,Stock changes,Nuclear,0,0
Ghana,Stock changes,Hydro,0,0
Ghana,Stock changes,Geothermal,0,0
Ghana,Stock changes,Solar photovoltaics,0,0
Ghana,Stock changes,Solar thermal,0,0
Ghana,Stock changes,"Tide, wave and ocean",0,0
Ghana,Stock changes,Wind,0,0
Ghana,Stock changes,Other sources,0,0
Ghana,Stock changes,Electricity,0,0
Ghana,Stock changes,Heat,0,0
Ghana,Stock changes,Total,-17,0
Ghana,Stock changes,Memo: Renewables,0,0
Ghana,Total primary energy supply,Hard coal (if no detail),0,x
Ghana,Total primary energy supply,Brown coal (if no detail),0,x
Ghana,Total primary energy supply,Anthracite,..,0
Ghana,Total primary energy supply,Coking coal,..,0
Ghana,Total primary energy supply,Other bituminous coal,..,0
Ghana,Total primary energy supply,Sub-bituminous coal,..,0
Ghana,Total primary energy supply,Lignite,..,0
Ghana,Total primary energy supply,Patent fuel,0,0
Ghana,Total primary energy supply,Coke oven coke,0,0
Ghana,Total primary energy supply,Gas coke,0,0
Ghana,Total primary energy supply,Coal tar,0,0
Ghana,Total primary energy supply,BKB,0,0
Ghana,Total primary energy supply,Gas works gas,0,0
Ghana,Total primary energy supply,Coke oven gas,0,0
Ghana,Total primary energy supply,Blast furnace gas,0,0
Ghana,Total primary energy supply,Other recovered gases,0,0
Ghana,Total primary energy supply,Peat,0,0
Ghana,Total primary energy supply,Peat products,0,0
Ghana,Total primary energy supply,Oil shale and oil sands,0,0
Ghana,Total primary energy supply,Natural gas,0,0
Ghana,Total primary energy supply,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Total primary energy supply,Crude oil,896,1308
Ghana,Total primary energy supply,Natural gas liquids,0,0
Ghana,Total primary energy supply,Refinery feedstocks,0,0
Ghana,Total primary energy supply,Additives/blending components,0,0
Ghana,Total primary energy supply,Other hydrocarbons,0,0
Ghana,Total primary energy supply,Refinery gas,0,0
Ghana,Total primary energy supply,Ethane,0,0
Ghana,Total primary energy supply,Liquefied petroleum gases (LPG),0,33
Ghana,Total primary energy supply,Motor gasoline excl. biofuels,-4,326
Ghana,Total primary energy supply,Aviation gasoline,0,0
Ghana,Total primary energy supply,Gasoline type jet fuel,0,0
Ghana,Total primary energy supply,Kerosene type jet fuel excl. biofuels,-22,-71
Ghana,Total primary energy supply,Other kerosene,-3,0
Ghana,Total primary energy supply,Gas/diesel oil excl. biofuels,-18,356
Ghana,Total primary energy supply,Fuel oil,-207,-183
Ghana,Total primary energy supply,Naphtha,0,0
Ghana,Total primary energy supply,White spirit & SBP,0,0
Ghana,Total primary energy supply,Lubricants,18,31
Ghana,Total primary energy supply,Bitumen,0,6
Ghana,Total primary energy supply,Paraffin waxes,0,0
Ghana,Total primary energy supply,Petroleum coke,0,0
Ghana,Total primary energy supply,Other oil products,0,32
Ghana,Total primary energy supply,Industrial waste,0,0
Ghana,Total primary energy supply,Municipal waste (renewable),0,0
Ghana,Total primary energy supply,Municipal waste (non-renewable),0,0
Ghana,Total primary energy supply,Primary solid biofuels,2088,3891
Ghana,Total primary energy supply,Biogases,0,0
Ghana,Total primary energy supply,Biogasoline,0,0
Ghana,Total primary energy supply,Biodiesels,0,0
Ghana,Total primary energy supply,Bio jet kerosene,0,0
Ghana,Total primary energy supply,Other liquid biofuels,0,0
Ghana,Total primary energy supply,Non-specified primary biofuels and waste,0,0
Ghana,Total primary energy supply,Charcoal,0,-2
Ghana,Total primary energy supply,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Total primary energy supply,Heat output from non-specified combustible fuels,0,0
Ghana,Total primary energy supply,Nuclear,0,0
Ghana,Total primary energy supply,Hydro,250,568
Ghana,Total primary energy supply,Geothermal,0,0
Ghana,Total primary energy supply,Solar photovoltaics,0,0
Ghana,Total primary energy supply,Solar thermal,0,0
Ghana,Total primary energy supply,"Tide, wave and ocean",0,0
Ghana,Total primary energy supply,Wind,0,0
Ghana,Total primary energy supply,Other sources,0,0
Ghana,Total primary energy supply,Electricity,0,41
Ghana,Total primary energy supply,Heat,0,0
Ghana,Total primary energy supply,Total,2997,6334
